ds,yhat,yhat_lower,yhat_upper
2011-01-29,0.07912438736028062,0.0,1.235088558101398
2011-01-30,0.0,0.0,1.0597409289595008
2011-01-31,0.0,0.0,1.0850877442370583
2011-02-01,0.0,0.0,1.1324985505514003
2011-02-02,0.0,0.0,1.190868216557676
2011-02-03,0.0,0.0,1.1280813763362725
2011-02-04,0.0,0.0,1.1068307382411453
2011-02-05,0.12614650439258673,0.0,1.286356734929667
2011-02-06,0.0,0.0,0.8068067016818391
2011-02-07,0.0,0.0,1.1151401249700559
2011-02-08,0.05708640559188209,0.0,1.2243121970517274
2011-02-09,0.0,0.0,1.2172768649939698
2011-02-10,0.0,0.0,1.1279326031054315
2011-02-11,0.02693472491998133,0.0,1.2155264355756479
2011-02-12,0.1934587040908579,0.0,1.3965769917677948
2011-02-13,0.08954292914285562,0.0,1.3329491301557475
2011-02-14,0.11087865260455629,0.0,1.410970523780389
2011-02-15,0.11538181446719502,0.0,1.2416447476190684
2011-02-16,0.029304656631933584,0.0,1.1609557757195463
2011-02-17,0.007999820326170887,0.0,1.1503666702563131
2011-02-18,0.06753942828867862,0.0,1.3232378282172725
2011-02-19,0.22684959193512783,0.0,1.3936813214729833
2011-02-20,0.11533054253328487,0.0,1.2840743050882935
2011-02-21,0.0,0.0,0.7201713790217201
2011-02-22,0.12549268123326032,0.0,1.2586532973344111
2011-02-23,0.03169282404867702,0.0,1.1721850988974425
2011-02-24,0.002968760215869365,0.0,1.2374714718391508
2011-02-25,0.055550545735956636,0.0,1.226012928688014
2011-02-26,0.20850816009966439,0.0,1.3711970592957055
2011-02-27,0.09136825116185512,0.0,1.2844798901852659
2011-02-28,0.018207195856136688,0.0,1.1558645726019297
2011-03-01,0.0928852912887135,0.0,1.1798654572723364
2011-03-02,0.0,0.0,1.1390258673277045
2011-03-03,0.0,0.0,1.0377618001489175
2011-03-04,0.01734534558703738,0.0,1.2538413689091534
2011-03-05,0.1704585166797713,0.0,1.3178069504612315
2011-03-06,0.05443444282090548,0.0,1.2527190800701629
2011-03-07,0.0,0.0,1.1697288057570359
2011-03-08,0.060780143467156864,0.0,1.2276757887820922
2011-03-09,0.0,0.0,0.7086958214309216
2011-03-10,0.0,0.0,1.104349721377263
2011-03-11,0.0,0.0,1.1297005443600092
2011-03-12,0.15540565344710175,0.0,1.2528510548318144
2011-03-13,0.044420553232770915,0.0,1.1616222274673915
2011-03-14,0.0,0.0,1.1387174071084532
2011-03-15,0.060783625622522146,0.0,1.2233549732172366
2011-03-16,0.0,0.0,0.7567655476959793
2011-03-17,0.0,0.0,0.9231462816180245
2011-03-18,0.010339124037392965,0.0,1.1087236265593952
2011-03-19,0.17162164051660964,0.0,1.3912090450466963
2011-03-20,0.0,0.0,1.0510370671714968
2011-03-21,0.0,0.0,1.0915358191254623
2011-03-22,0.08287256884014213,0.0,1.2469489474886628
2011-03-23,0.0,0.0,1.0936958747184797
2011-03-24,0.0,0.0,1.0858969653429396
2011-03-25,0.03178840072115526,0.0,1.1104904255472157
2011-03-26,0.19149317013561554,0.0,1.3404388958842892
2011-03-27,0.08099907711294713,0.0,1.3103196400481236
2011-03-28,0.014196087612064623,0.0,1.1785980917338088
2011-03-29,0.0947725473638118,0.0,1.3090445932413028
2011-03-30,0.003375511162297033,0.0,1.192301033112438
2011-03-31,0.0,0.0,1.1090200060306203
2011-04-01,0.03273789111075619,0.0,1.2141062548136867
2011-04-02,0.18859264149343538,0.0,1.357658258127416
2011-04-03,0.07431059565796222,0.0,1.3380651290189087
2011-04-04,0.0038693722806481326,0.0,1.2012949211166601
2011-04-05,0.08103490454157887,0.0,1.2528336479632036
2011-04-06,0.0,0.0,1.2128685143871842
2011-04-07,0.0,0.0,1.195617262733168
2011-04-08,0.010713715087710879,0.0,1.2674736132139046
2011-04-09,0.1645748470897436,0.0,1.3063419876949247
2011-04-10,0.048703658589557865,0.0,1.2480423967475844
2011-04-11,0.0,0.0,1.1399977054379706
2011-04-12,0.053401128704984244,0.0,1.239960110287738
2011-04-13,0.0,0.0,1.102588035398128
2011-04-14,0.0,0.0,1.100885316222638
2011-04-15,0.0,0.0,1.1327114257337478
2011-04-16,0.13630733474537002,0.0,1.2517783020580615
2011-04-17,0.020626803627485,0.0,1.0783474543046387
2011-04-18,0.0,0.0,1.0240720836173438
2011-04-19,0.02560900429375844,0.0,1.2430867908890655
2011-04-20,0.0,0.0,1.0692191033044547
2011-04-21,0.0,0.0,1.0630333793029312
2011-04-22,0.0,0.0,1.1245772546680932
2011-04-23,0.10679805194417155,0.0,1.3604641434971416
2011-04-24,0.0,0.0,0.7946827192815049
2011-04-25,0.0,0.0,1.1103099307199245
2011-04-26,0.0,0.0,0.9921821270213607
2011-04-27,0.0,0.0,1.040046565849721
2011-04-28,0.0,0.0,1.0635792942567264
2011-04-29,0.0,0.0,1.2344020742364261
2011-04-30,0.06168706181186922,0.0,1.2953471176021054
2011-05-01,0.0,0.0,1.2176254927402017
2011-05-02,0.0,0.0,1.063912910068355
2011-05-03,0.0,0.0,1.108088780742505
2011-05-04,0.0,0.0,1.035231573205211
2011-05-05,0.0,0.0,0.7729418039139878
2011-05-06,0.0,0.0,1.032638877766719
2011-05-07,0.0,0.0,1.2138241843657607
2011-05-08,0.0,0.0,1.058124160307174
2011-05-09,0.0,0.0,0.9170339723139
2011-05-10,0.0,0.0,0.9681107798592119
2011-05-11,0.0,0.0,0.9206940483312261
2011-05-12,0.0,0.0,0.909590008976425
2011-05-13,0.0,0.0,0.9516597328934916
2011-05-14,0.0,0.0,1.0966734688942912
2011-05-15,0.0,0.0,0.9922807745047071
2011-05-16,0.0,0.0,0.7840171704458788
2011-05-17,0.0,0.0,0.9679523548023693
2011-05-18,0.0,0.0,0.945215756007651
2011-05-19,0.0,0.0,0.8369612218358535
2011-05-20,0.0,0.0,0.9515379536180211
2011-05-21,0.0,0.0,1.0632134971610587
2011-05-22,0.0,0.0,0.9949442294025798
2011-05-23,0.0,0.0,0.962400099264915
2011-05-24,0.0,0.0,0.9831925765374353
2011-05-25,0.0,0.0,0.8673575839867905
2011-05-26,0.0,0.0,0.8906882159914521
2011-05-27,0.0,0.0,0.8782888827108272
2011-05-28,0.0,0.0,1.059761375056335
2011-05-29,0.0,0.0,0.9802402761706007
2011-05-30,0.0,0.0,0.9806786675749765
2011-05-31,0.0,0.0,1.1880189910663932
2011-06-01,0.0,0.0,0.9653600262290589
2011-06-02,0.0,0.0,0.8045611634610637
2011-06-03,0.0,0.0,0.9843781979138844
2011-06-04,0.0,0.0,1.149977702810237
2011-06-05,0.0,0.0,1.0062101539232955
2011-06-06,0.0,0.0,0.9725247850381055
2011-06-07,0.0,0.0,1.1117259949865443
2011-06-08,0.0,0.0,0.9707169048244206
2011-06-09,0.0,0.0,0.9667057444528016
2011-06-10,0.0,0.0,0.9937738930113514
2011-06-11,0.0040856488588264395,0.0,1.0088287966640048
2011-06-12,0.06165259604179435,0.0,1.2270859803137628
2011-06-13,0.0,0.0,0.9824697621519249
2011-06-14,0.0,0.0,1.1247193535770312
2011-06-15,0.0,0.0,0.9647964577296773
2011-06-16,0.0,0.0,0.8957327251952228
2011-06-17,0.0,0.0,1.035197940289664
2011-06-18,0.03502128995776779,0.0,1.208155584620075
2011-06-19,0.29286571753721985,0.0,1.423968710085475
2011-06-20,0.0,0.0,0.9729889610341771
2011-06-21,0.0,0.0,1.1978097368043186
2011-06-22,0.0,0.0,1.0455494565728845
2011-06-23,0.0,0.0,0.9897198350691675
2011-06-24,0.0,0.0,1.0820315630167199
2011-06-25,0.0640778661047868,0.0,1.2389482578685265
2011-06-26,0.0,0.0,1.1691239975644971
2011-06-27,0.0,0.0,1.1505076276635497
2011-06-28,0.0,0.0,1.1174678682145562
2011-06-29,0.0,0.0,1.010702658084703
2011-06-30,0.0,0.0,1.1625837847581637
2011-07-01,0.0,0.0,1.0738938128341213
2011-07-02,0.09250146792703358,0.0,1.3362642045732676
2011-07-03,0.0,0.0,1.175636606603008
2011-07-04,0.2844867729641819,0.0,1.5104342362776795
2011-07-05,0.0025273449388875414,0.0,1.2114150941635535
2011-07-06,0.0,0.0,1.0688224529558776
2011-07-07,0.0,0.0,1.0775853156019404
2011-07-08,0.0,0.0,1.1546929875928253
2011-07-09,0.10744717069898306,0.0,1.2586335787764633
2011-07-10,0.0,0.0,1.1336151741182112
2011-07-11,0.0,0.0,1.0659976480960658
2011-07-12,0.008499882479410244,0.0,1.2008132308211827
2011-07-13,0.0,0.0,1.200261793962381
2011-07-14,0.0,0.0,1.0172221589612074
2011-07-15,0.0,0.0,1.2229424774522069
2011-07-16,0.10283271721588096,0.0,1.306781738688121
2011-07-17,0.0,0.0,1.1108063152963292
2011-07-18,0.0,0.0,1.056313654204733
2011-07-19,0.0,0.0,1.1778701759917634
2011-07-20,0.0,0.0,1.0224218581085123
2011-07-21,0.0,0.0,1.0304353200780072
2011-07-22,0.0,0.0,1.1434869666617948
2011-07-23,0.09705280905026131,0.0,1.2196285188011522
2011-07-24,0.0,0.0,1.1798729715298126
2011-07-25,0.0,0.0,1.1060850937139708
2011-07-26,0.002566377743584,0.0,1.2224946971237638
2011-07-27,0.0,0.0,1.0058579510057402
2011-07-28,0.0,0.0,1.0837810239750503
2011-07-29,0.0,0.0,1.1111938175664011
2011-07-30,0.11655977388353783,0.0,1.2669914835863312
2011-07-31,0.010113368562529056,0.0,1.1547609845139073
2011-08-01,0.3288900550353626,0.0,1.4839357846872434
2011-08-02,0.03504996821090268,0.0,1.2584528323808013
